,source,author,year,sample,diagnosis,modality,method,accuracy
0,mirzaei,ortiz-garcia,2016,275,AD/MCI/HC,PET/sMRI,DL,90.0
4,mirzaei,cheng,2017,807,AD/MCI/HC,sMRI,DL,94.0
6,mirzaei,farooq,2017,127,AD/MCI/HC,sMRI,DL,98.0
10,mirzaei,jain,2019,150,AD/MCI/HC,sMRI,DL,95.0
12,mirzaei,lee,2019,1618,AD/MCI/HC,Multimodal,DL,81.0
14,mirzaei,silva,2019,69,AD/HC,sMRI,DL,96.0
15,mirzaei,wada,2019,48,AD/DLB/HC,sMRI,DL,73.0
19,mirzaei,feng,2020,398,AD/MCI/HC,sMRI,DL,95.74
46,arbabshirani,farzan,2014,85,AD/HC,sMRI,DL,93.7
131,arbabshirani,kim,2015,100,SCZ/HC,rsfMRI,DL,86.0
136,arbabshirani,chyzhyk,2015,144,SCZ/HC,rsfMRI,DL,85.5
189,fahti,ji,2019,615,AD/HC,sMRI,DL,98.59
190,fahti,cui,2019,662,AD/HC,sMRI,DL,100.0
191,fahti,shi,2018,202,AD/HC,sMRI/PET,DL,97.13
192,fahti,yue,2019,4359,AD/HC,sMRI,DL,98.6
193,fahti,sarraf,2019,1351,AD/HC,sMRI/fMRI,DL,98.75
194,fahti,hosseini,2018,210,AD/HC,sMRI,DL,99.31
195,fahti,liu,2018,339,AD/HC,PET,DL,91.2
196,fahti,abrol,2020,828,AD/HC,sMRI,DL,91.0
197,fahti,basaia,2019,1638,AD/HC,sMRI,DL,98.2
199,fahti,jain,2019,150,AD/HC,sMRI,DL,99.14
200,fahti,jie,2020,174,AD/HC,fMRI,DL,88.0
201,fahti,kruthika,2019,1941,AD/HC,sMRI,DL,97.6
202,fahti,li,2018,831,AD/HC,sMRI,DL,89.5
203,fahti,li,2019,807,AD/HC,sMRI,DL,89.1
204,fahti,liu,2020,449,AD/HC,sMRI,DL,88.9
205,fahti,suk,2014,398,AD/HC,sMRI/PET,DL,95.35
206,fahti,suk,2017,805,AD/HC,sMRI,DL,91.02
207,fahti,wang,2019,833,AD/HC,sMRI,DL,98.83
208,fahti,basheera,2019,1820,AD/HC,sMRI,DL,100.0
209,fahti,billones,2017,900,AD/HC,sMRI,DL,98.33
210,fahti,li,2020,389,AD/HC,fMRI,DL,97.37
211,fahti,ortiz,2016,275,AD/HC,sMRI/PET,DL,90.0
212,fahti,ji,2020,490,AD/HC,sMRI,DL,98.59
213,fahti,vu,2018,615,AD/HC,sMRI/PET,DL,98.8
214,fahti,yu,2019,381,AD/HC,sMRI,DL,99.47
215,fahti,yue,2018,1663,AD/HC,sMRI,DL,95.44
216,fahti,zheng,2018,962,AD/HC,PET,DL,91.0
217,fahti,liu,2014,311,AD/HC,sMRI/PET,DL,87.76
218,fahti,liu,2018,397,AD/HC,sMRI/PET,DL,93.26
219,fahti,lu,2018,1224,AD/HC,sMRI/PET,DL,84.6
220,fahti,liu,2015,331,AD/HC,sMRI/PET,DL,91.4
221,fahti,nanni,2020,773,AD/HC,sMRI,DL,90.8
222,fahti,odusami,2021,138,AD/HC,fMRI,DL,80.8
223,fahti,pan,2020,509,AD/HC,sMRI,DL,84.0
224,fahti,pan,2021,1006,AD/HC,PET,DL,93.13
225,fahti,zhang,2021,968,AD/HC,sMRI,DL,97.35
227,fahti,jin,2020,1832,AD/HC,sMRI,DL,92.0
228,fahti,khvostik,2018,531,AD/HC,sMRI/DTI,DL,93.3
229,fahti,mehmoo,2021,300,AD/HC,sMRI,DL,98.73
230,fahti,li,2021,807,AD/HC,sMRI,DL,85.9
231,fahti,sun,2021,959,AD/HC,PET,DL,90.1
232,fahti,basheera,2021,377,AD/HC,sMRI,DL,98.0
233,fahti,kumar,2021,600,AD/HC,sMRI,DL,92.0
234,fahti,naz,2021,379,AD/HC,sMRI,DL,98.89
236,fahti,helaly,2021,300,AD/HC,sMRI,DL,97.23
237,fahti,sethi,2021,365,AD/HC,sMRI,DL,92.56
238,fahti,song,2021,381,AD/HC,sMRI,DL,94.11
239,fahti,kamada,2021,360,AD/HC,sMRI,DL,92.3
240,fahti,kamada,2021,195,AD/HC,PET,DL,98.7
241,fahti,guan,2022,1340,AD/HC,sMRI,DL,90.7
242,fahti,zhang,2022,496,AD/HC,sMRI,DL,88.3
243,fahti,hu,2022,639,AD/HC,sMRI,DL,99.62
244,fahti,liu,2022,520,AD/HC,sMRI,DL,98.96
245,shoebi,siar,2019,1111,MS/HC,T2,DL,96.88
246,shoebi,eitel,2019,147,MS/HC,sMRI,DL,80.92
247,shoebi,afzal,2019,21,MS/HC,T2,DL,100.0
248,shoebi,alijamaat,2020,58,MS/HC,T2,DL,99.05
249,shoebi,shrwan,2021,38,MS/HC,T1,DL,99.55
250,shoebi,wang,2018,64,MS/HC,T2,DL,98.77
